Machine_ID,Cycle,Remaining_Useful_Life,Machine_Failure,Failure_Type,Process_Temperature_K,Air_Temperature_K,Rotational_Speed_rpm,Torque_Nm,Tool_Wear_min,Power_Consumption_kW,Vibration_mms,Pressure_bar,Ambient_Humidity_%,Ambient_Pressure_bar,Voltage_V,Current_A,Dust_Level_mg/m3,Production_Volume
1,1,117,0,None,309.508504625146,301.254355565867,1522.4324337026,28.0304131455936,12.4197059800986,7.3881072822622,0.175993870510185,2.44675249356771,56.0117674349382,1.01799982623775,223.334902017191,8.36937972510763,0.244763356561972,115
1,2,116,0,None,308.461723699896,294.340415862643,1492.70207127879,27.8306288037056,3.34404897994057,6.52307396211177,0.314923917819393,2.44627278832254,49.1711571430515,0.975697807473715,212.271649373711,4.4385071612635,0.606439773306339,152.579831932773
1,3,115,0,None,312.428581673179,306.820035474052,1382.43925820022,27.7182429488272,-0.693568156946713,6.42804456156242,0.136602722279057,2.26622074685166,54.6296808776897,0.986246891794393,216.479696493028,7.52560980058062,0.838980356523677,193.159663865546
1,4,114,0,None,312.476526834141,300.440923951372,1559.3942833173,28.4858061507333,18.9912785151832,6.58915779379786,0.13355552642351,2.35149712982861,43.1606975125865,0.982184904730046,229.017663022402,8.15770090568625,0.780145897378444,186.739495798319
1,5,113,0,None,306.868637381765,301.618827604751,1580.07581673952,31.6675269244237,18.9653291709657,7.21759981363759,0.282779301676515,2.31434610971671,48.8073037078666,0.996914675105918,229.392868573096,6.21671312983497,0.910112424396595,174.319327731092
1,6,112,0,None,311.302387067157,295.505113087884,1567.59412892937,32.2990556770016,38.0983599932329,6.49495320615361,0.164845385051923,2.61887376178463,59.7711626237982,0.99919616960093,217.548162563909,8.99880023011131,0.371120290885326,166.899159663866
1,7,111,0,None,305.949286856579,299.965669657591,1449.06967198463,30.9613093351308,35.0850140906207,7.14640966828361,0.152868007875868,2.70804118564473,64.8733111589249,1.02005404388587,221.13968817782,5.03484056927262,0.299768564574611,140.478991596639
1,8,110,0,None,312.190864886581,301.240062262871,1495.61056159283,29.8316905672342,37.0538085859014,7.32115055266431,0.315308428185565,2.48104932528432,47.3462133582556,0.984493094113307,223.51448494668,9.98718074364221,0.921246602053627,169.058823529412
1,9,109,0,None,308.200266140787,299.577304336598,1497.71629539431,35.0719153579956,33.7429607576922,8.02624342016746,0.249529198958664,2.54592558603273,31.7464663082944,1.01120188575741,222.312894791042,3.9657269718448,0.725417726878372,140.638655462185
1,10,108,0,None,311.6542154008,302.61648557806,1393.37526786794,31.0977751701647,29.0581386337477,7.31242384415662,0.170622852695916,2.46950572897898,36.4669017658721,1.01521047293462,218.322170789952,12.7223351164364,0.417651163057219,195.218487394958
